RANK,PLAYER_NAME,PLAYER_ID
1,Connor Bedard,1
2,Adam Fantilli,2
3,Matvei Michkov,8
4,Leo Carlsson,3
5,William Smith,4
6,David Reinbacher,5
7,Nate Danielson,11
8,Dalibor Dvorsky,6
9,Danil But,17
10,Dmitriy Simashev,13
11,Ryan Leonard,7
12,Gabriel Perreault,9
13,Samuel Honzek,15
14,Matthew Wood,12
15,Tom Willander,10
16,Brayden Yager,19
17,Zach Benson,14
18,David Edstrom,21
19,Oliver Moore,18
20,Colby Barlow,16
21,Quentin Musty,24
22,Axel Sandin Pellikka,20
23,Charlie Stramel,29
24,Eduard Sale,28
25,Tanner Molendyk,27
26,Oliver Bonk,22
27,Calum Ritchie,23
28,Otto Stenberg,35
29,Gavin Brindley,30
30,Mikhail Gulyayev,34
31,Lukas Dragicevic,36
32,Danny Nelson,32
33,Anton Wahlberg,33
34,Maxim Strbak,38
35,Ethan Gauthier,46
36,Bradly Nadeau,31
37,Oscar Fisker Molgaard,42
38,Michael Hrabal,26
39,Carson Rehkopf,37
40,Etienne Morin,25
41,Arttu Karki,68
42,Theo Lindstein,39
43,Juraj Pekarcik,48
44,Luca Cagnoni,47
45,Nico Myatovic,50
46,Kasper Halttunen,44
47,Daniil Karpovich,127
48,Felix Nilsson,43
49,Carey Terrance,55
50,Beau Akey,41
51,Caden Price,83
52,Cameron Allen,95
53,Gavin McCarthy,69
54,Andrew Gibson,57
55,Lenni Hameenaho,58
56,Coulson Pitre,53
57,Mathieu Cataford,62
58,Hunter Brzustewicz,66
59,Riley Heidt,49
60,Kalan Lind,40
61,Jakub Dvorak,54
62,Aram Minnetian,93
63,Andrew Strathmann,63
64,Emil Pieniniemi,65
65,Koehn Ziemmer,59
66,Martin Misiak,82
67,Yegor Rimashevskiy,109
68,Andrew Cristall,45
69,Alex Ciernik,75
70,Aiden Fink,71
71,Adam Gajan,56
72,Scott Ratzlaff,136
73,Trey Augustine,52
74,Carson Bjarnason,51
75,Aydar Suniev,115
76,Roman Kantserov,94
77,Jacob Fowler,72
78,Alex Pharand,70
79,Brandon Svoboda,86
80,Jesse Kiiskinen,74
81,Ethan Miedema,64
82,Milton Oscarson,129
83,Tristan Bertucci,81
84,Samuel Mayer,140
85,Matteo Fabrizi,130
86,Hannes Hellberg,190
87,Zach Nehring,85
88,Petter Vesterheim,155
89,Gabriel Szturc,113
90,Matthew Mania,142
91,Dylan MacKinnon,87
92,Hoyt Stanley,77
93,Axel Hurtig,181
94,Nick Lardis,78
95,Easton Cowan,61
96,Hudson Malinoski,124
97,Tuomas Uronen,98
98,Tyler Peddle,110
99,Michael Emerson,97
100,Luca Pinelli,103
101,Denver Barkey,114
102,Zeb Forsfjall,101
103,Rasmus Kumpulainen,92
104,Frantisek Dej,102
105,Felix Unger Sorum,76
106,Noah Dower Nilsson,84
107,Jayden Perron,67
108,Jesse Nurmi,99
109,Beckett Hendrickson,105
110,Connor Levis,123
111,Emil Jarventie,154
112,William Whitelaw,90
113,Noel Nordh,112
114,Brady Cleveland,118
115,Konstantin Volochko,170
116,Gracyn Sawchyn,80
117,Jaden Lipinski,116
118,Zachary Schulz,138
119,Paul Fischer,122
120,Drew Fortescue,108
121,Albert Wikman,89
122,Quinton Burns,73
123,Larry Keenan,91
124,Rasmus Larsson,189
125,Konnor Smith,106
126,Axel Landen,236
127,Tanner Adams,157
128,Nikita Nedopekin,223
129,Nikita Ishimnikov,209
130,Vadim Moroz,156
131,Max Lundgren,128
132,Timur Mukhanov,104
133,Andrei Loshko,148
134,Alexander Rykov,79
135,Nikita Susuyev,145
136,Artyom Kashtanov,221
137,Damian Clara,60
138,Carsen Musser,173
139,Kristers Steinbergs,217
140,Yegor Sidorov,107
141,Ivan Anoshko,152
142,Ruslan Khazheyev,117
